OBJECTID,HSISID,NAME,ADDRESS1,ADDRESS2,CITY,STATE,POSTALCODE,PHONENUMBER,RESTAURANTOPENDATE,FACILITYTYPE,PERMITID,X,Y,GEOCODESTATUS
2002751,04092022008,KINGS WOK,8320 Litchford  RD ,SUITE 160,RALEIGH,NC,27615,(919) 878-5252,2017/03/09 05:00:00+00,Food Stand,332,-78.59988229,35.89223772,M
2002752,04092016155,DAILY PLANET CAFE,11   W JONES ST ,STE 1509,RALEIGH,NC,27601,(919) 707-8060,2012/04/12 04:00:00+00,Restaurant,335,-78.63943083,35.78220511,M
2002753,04092016161,HIBACHI 88,3416 POOLE RD ,,RALEIGH,NC,27610,(919) 231-1688,2012/04/18 04:00:00+00,Restaurant,337,-78.57953261,35.76724571,M
2002754,04092017542,AMERICAN DELI,1601-11 CROSS LINK RD ,,RALEIGH,NC,27610,(919) 516-5111,2017/03/01 05:00:00+00,Restaurant,33,-78.61376,35.75438832,M
2002755,04092018228,Hady International Food,717-199 E MARTIN ST ,,RALEIGH,NC,27610,(919) 741-1111,2019/11/13 05:00:00+00,Restaurant,42,-78.62699406,35.77656647,M
2002756,04092021605,HARRIS TEETER #422 PRODUCE,120-100 ST ALBANS DR ,,RALEIGH,NC,27607,(919) 781-4165,2010/02/03 05:00:00+00,Food Stand,52,-78.63887103,35.83819686,M
2002757,04092021606,HARRIS TEETER #422 MM/SEAFOOD,120-100 ST ALBANS DR ,,RALEIGH,NC,27609,(919) 781-4165,2010/02/03 05:00:00+00,Food Stand,130,-78.63887103,35.83819686,M
2002758,04092015099,Subway #41217,8410-140 Louisburg RD ,,RALEIGH,NC,27616,(919) 266-0300,2008/03/25 04:00:00+00,Restaurant,188,-78.51125194,35.89400635,M
2002759,04092016702,China Wok,7440-143 Louisburg RD ,,RALEIGH,NC,27616,(919) 862-9898,2014/05/28 04:00:00+00,Restaurant,189,-78.54049905,35.87559319,M
2002760,04092017180,BOND BROTHERS BEER COMPANY,202 E CEDAR ST ,,CARY,NC,27511,(919) 459-2670,2016/03/11 05:00:00+00,Restaurant,338,-78.77802091,35.78798563,M
2002761,04092018352,Prime Barbeque,403 KNIGHTDALE STATION RUN,,KNIGHTDALE,NC,27545,(919) 373-8076,2020/04/22 04:00:00+00,Restaurant,339,-78.47356613,35.79722482,M
2002762,04092025358,Oak City Pizza,2906 Hillsborough  ST ,,RALEIGH,NC,27607,(919) 322-2544,2021/04/28 04:00:00+00,Food Stand,343,-78.67526404,35.78962141,M
2002763,04092017849,The Melting Pot,3100 Wake Forest RD ,,RALEIGH,NC,27609-7846,(919) 878-0477,2018/05/14 04:00:00+00,Restaurant,352,-78.62038753,35.82333592,M
2002764,04092030223,Valentino's (WCID 378),4820 Signett DR ,,RALEIGH,NC,27615,(919) 376-5814,2010/07/09 04:00:00+00,Mobile Food Units,353,-78.58339304,35.85150753,M
2002765,04092021953,COSTCO WHOLESALE #1206 ROTISSERIE/DELI,1021 PINE PLAZA DR ,,APEX,NC,27523,(919) 331-6035,2016/03/14 04:00:00+00,Food Stand,360,-78.82726689,35.7464159,M
2002766,04092025393,Little Caesars #39,203 Timber  DR ,,GARNER,NC,27529,(919) 772-7775,2021/09/24 04:00:00+00,Food Stand,366,-78.60613102,35.68500723,M
2002767,04092021928,CIRCLE K #2723302,1414  E WILLIAMS ST ,,APEX,NC,27539,(919) 362-5131,2016/02/25 05:00:00+00,Food Stand,368,-78.83931692,35.71149361,M
2002768,04092030440,Taco Veloz  (WCID #736),1312 N ARENDELL AVE,,ZEBULON,NC,27597-8732,(914) 497-2580,2019/08/26 04:00:00+00,Mobile Food Units,370,-78.32392727,35.83867806,M
2002769,04092021952,COSTCO WHOLESALE #1206 MEAT,1021 PINE PLAZA DR ,,APEX,NC,27523,(919) 331-6035,2016/03/14 04:00:00+00,Food Stand,371,-78.82726689,35.7464159,M
2002770,04092017192,STARBUCKS #19453,185 GRAND HILL PL ,,HOLLY SPRINGS,NC,27540,(919) 557-3246,2016/04/05 04:00:00+00,Restaurant,376,-78.84948074,35.66266499,M
2002771,04092016163,FLYING BURRITO,4800 GROVE BARTON RD ,,RALEIGH,NC,27613,(919) 785-2734,2012/04/18 04:00:00+00,Restaurant,377,-78.71583123,35.87110639,M
2002772,04092021891,FOOD LION #669 PRODUCE,405 S MAIN ST ,,ROLESVILLE,NC,27571,(919) 554-4018,2015/10/14 04:00:00+00,Food Stand,390,-78.46472721,35.91731538,T
2002773,04092017669,FIRST CHINA RESTAURANT,6452 TRYON  RD ,,CARY,NC,27518,(919) 852-5857,2017/08/25 04:00:00+00,Restaurant,393,-78.7615544,35.74559939,M
2002774,04092050028,NEUSE CHRISTIAN ACADEMY,7600 FALLS OF NEUSE  RD ,,RALEIGH,NC,27615,(919) 847-0160 ext. 274,2009/12/30 05:00:00+00,Private School Lunchrooms,403,-78.62608851,35.88760817,M
2002775,04092017900,The Arbor @ Morgan Street Food Hall,411 W Morgan ST ,,RALEIGH,NC,27603,(919) 834-2720,2018/07/25 04:00:00+00,Restaurant,404,-78.6456917,35.77945516,M
2002776,04092017186,STARBUCKS #25115,180 CABELA DR ,,GARNER,NC,27529,(919) 819-5059,2016/03/29 04:00:00+00,Restaurant,405,-78.58356211,35.69799194,M
2002777,04092017541,RISE BISCUITS & DONUTS,169 GRAND HILL PL ,,HOLLY SPRINGS,NC,27540,(919) 586-7343,2017/03/03 05:00:00+00,Restaurant,418,-78.84948074,35.66266499,M
2002778,04092050030,Wake Christian Academy Cafeteria,5500 Wake Academy Dr,,RALEIGH,NC,27603,(919) 772-6264,2018/08/03 04:00:00+00,Private School Lunchrooms,420,-78.67165429,35.70444604,M
2002779,04092015470,TIJUANA FLATS #138,1310 E MILLBROOK RD ,,RALEIGH,NC,27609,(919) 790-6409,2009/09/04 04:00:00+00,Restaurant,426,-78.61557526,35.84978294,M
2002780,04092030454,Capones Chicago Eats  (WCID #750),8101 Holly Springs RD ,M-Sat 11-2,Raleigh ,NC,27606,(919) 757-9514,2019/12/09 05:00:00+00,Pushcarts,430,-78.76164101,35.70858774,M
2002781,04092018719,Union Special Downtown,401 FAYETTEVILLE ST,Suite 103,RALEIGH,NC,27601,(984) 200-3094 ext. 7004,2021/10/05 04:00:00+00,Restaurant,433,-78.63909101,35.77542096,M
2002782,04092021744,LITTLE TOKYO,5959 TRIANGLE TOWN BLVD ,FC 1132,RALEIGH,NC,27616,(919) 792-0111,2013/05/28 04:00:00+00,Food Stand,442,-78.57603863,35.86599856,M
2002783,04092030426,DeMario's Smokin' Fry Masters (WCID #629),1155 TIMBER DR E,,GARNER,NC,27529-6916,(919) 605-5591,2019/07/02 04:00:00+00,Mobile Food Units,445,-78.57703897,35.68905989,T
2002784,04092018671,Burger King #11244,2791 NC 55 HWY ,,CARY,NC,27511,(919) 387-0071,2021/07/02 04:00:00+00,Restaurant,446,-78.87169627,35.78608086,M
2002785,04092018627,Kazu Hibachi,8111 Creedmioor  RD ,Suite 149,RALEIGH,NC,27613,(919) 977-8999,2021/05/11 04:00:00+00,Restaurant,452,-78.68248786,35.89850336,M
2002786,04092030555,Tacos El Calentano (WCID #850),10125 DIVISION DR,,RALEIGH,NC,56642-7603,(984) 297-3718,2021/11/24 05:00:00+00,Mobile Food Units,455,-78.7114342,35.63398295,M
2002787,04092017521,MCDONALDS #13159,1725 New Hope Church Rd,,RALEIGH,NC,27609,(919) 713-0903,2017/02/22 05:00:00+00,Restaurant,460,-78.60826495,35.83722719,M
2002788,04092015321,SUBWAY #12460,706 W PEACE ST ,,RALEIGH,NC,27605,(919) 834-0605,2009/01/12 05:00:00+00,Restaurant,466,-78.64931864,35.78886208,M
2002789,04092017538,PIZZERIA FAULISI,215 E CHATHAM ST ,SUITE 101,CARY,NC,27511,(919) 377-8244,2017/02/21 05:00:00+00,Restaurant,467,-78.77734174,35.78786553,M
2002790,04092018307,Szechuan Mansion Restaurant,1353 KILDAIRE FARM RD,,CARY,NC,27511,(919) 800-1802,2020/01/27 05:00:00+00,Restaurant,471,-78.78193974,35.75976658,M
2002791,04092018254,Teriyaki Madness,160 SHENSTONE BLVD,,GARNER,NC,27529,,2019/12/02 05:00:00+00,Restaurant,472,-78.58054205,35.69110315,M
2002792,04092021889,FOOD LION #2504 PRODUCE,1030-125 N ROGERS LN ,,RALEIGH,NC,27610,(919) 792-0321,2015/10/06 04:00:00+00,Food Stand,463,-78.54967347,35.79198567,M
2002793,04092025276,Square Burgers,225 E MARTIN ST ,,RALEIGH,NC,27601-1316,(919) 896-6600,2019/07/29 04:00:00+00,Food Stand,473,-78.63544584,35.77685868,M
2002794,04092021897,FOOD LION #1482 PRODUCE,5426 SIX FORKS RD ,,RALEIGH,NC,27609,(919) 676-3386,2015/10/22 04:00:00+00,Food Stand,489,-78.64059702,35.85499105,M
2002795,04092016263,DICKEY'S BARBECUE PIT #413,6552 GLENWOOD  AVE ,,RALEIGH,NC,27612,(919) 436-3995,2012/09/20 04:00:00+00,Restaurant,491,-78.70609774,35.86074545,M
2002796,04092018287,Zanyu Asian Noodles,8450 HONEYCUTT RD ,STE. 112,RALEIGH,NC,27615,(919) 803-1340,2020/01/07 05:00:00+00,Restaurant,492,-78.62166097,35.89510574,M
2002797,04092040390,DeeVine Dogs (WCID #833),7106 KNIGHTDALE BLVD,,KNIGHTDALE,NC,27545-9265,(718) 581-7456,2021/06/01 04:00:00+00,Pushcarts,505,-78.49110797,35.79651289,M
2002798,04092030438,Jerk Man Island Cuisine (WCID #732),2161 S Wilmington ST ,,RALEIGH,NC,27603,(919) 943-7074,2019/08/21 04:00:00+00,Mobile Food Units,490,-78.64171063,35.75324624,M
2002799,04092030437,Captain John's Seafood (WCID #730),308 Southtown Circle,,ROLESVILLE,NC,27591,(919) 717-7598,2019/08/08 04:00:00+00,Mobile Food Units,507,-78.47039569,35.91648377,M
2002800,04092015474,BISCUITVILLE #184,4305 FAYETTEVILLE RD ,,RALEIGH,NC,27603,(919) 803-8112,2009/09/24 04:00:00+00,Restaurant,508,-78.65307339,35.72039578,M
2002801,04092016083,NEW RAINBOW CHINESE RESTAURANT,3427 N Main ST ,,FUQUAY-VARINA,NC,27526,(919) 567-8272,2012/01/31 05:00:00+00,Restaurant,510,-78.7258865,35.62516136,M
2002802,04092021888,LOWES FOODS #191 BEEF SHOP,9600 STRICKLAND RD ,,RALEIGH,NC,27615,(919) 847-5661,2015/10/02 04:00:00+00,Food Stand,518,-78.65568292,35.90277448,M
2002803,04092017798,SKY ZONE,2101  Westinghouse Blvd.,SUITE 111,RALEIGH,NC,27604,(919) 948-4450,2018/03/02 05:00:00+00,Restaurant,525,-78.59593599,35.80806334,M
2002804,04092017686,THE PICKLED ONION,10750 WAKEFIELD COMMONS DR ,SUITE 107,RALEIGH,NC,27614,(919) 848-4161,2017/09/29 04:00:00+00,Restaurant,526,-78.54123068,35.94195641,M
2002805,04092016808,Harris Teeter #257 Starbucks,2080 Kildaire Farm RD ,,CARY,NC,27518,(919) 233-9483,2014/11/10 05:00:00+00,Restaurant,535,-78.78068669,35.73567522,M
2002806,04092021900,FOOD LION #90 PRODUCE,4317 FALLS OF NEUSE RD ,,RALEIGH,NC,27609,(919) 872-5376,2015/10/22 04:00:00+00,Food Stand,540,-78.61339277,35.84095998,M
2002807,04092017894,Which Wich #670,7202 Knightdale BLVD ,,KNIGHTDALE,NC,27545,(919) 373-8883,2018/07/26 04:00:00+00,Restaurant,563,-78.48704631,35.79788571,M
2002808,04092030485,Dubz Grub (WCID #775),2201 S WILMINGTON ST,,RALEIGH,NC,27603-2559,(919) 539-6022,2020/07/06 04:00:00+00,Mobile Food Units,564,-78.63902655,35.752054,M
2002809,04092018646,Five Guys #1797,1075 Pine Plaza BLVD ,,APEX,NC,27523,(919) 616-0011,2021/06/07 04:00:00+00,Restaurant,547,-78.82917015,35.7478436,M
2002810,04092016169,NET APP CAFE BLDG3,7301 KIT CREEK RD ,BLDG 3,MORRISVILLE,NC,27560,(919) 476-5671,2012/04/20 04:00:00+00,Restaurant,567,-78.88578455,35.85727617,M
2002811,04092018512,Poke Bros,7870 Alexander Promenade PL ,Ste 110,RALEIGH,NC,27617,(919) 797-2322,2020/12/30 05:00:00+00,Restaurant,578,-78.77695631,35.91424375,M
2002812,04092015101,Michelangelos,7280 GB Alford  HWY ,,HOLLY SPRINGS,NC,27540,(919) 557-4992,2008/03/26 04:00:00+00,Restaurant,605,-78.83292783,35.63500069,M
2002813,04092016675,CLYDE COOPER'S BARBECUE,327 S WILMINGTON ST ,,RALEIGH,NC,27601,(919) 832-7614,2014/04/15 04:00:00+00,Restaurant,614,-78.63784658,35.77659846,M
2002814,04092018318,TASU #2,525 NEW WAVERLY  PL ,SUITE 103,CARY,NC,27518,(919) 977-4037,2020/02/11 05:00:00+00,Restaurant,628,-78.77756307,35.73853619,M
2002815,04092014754,Lam's Garden Restaurant,1100-113 Raleigh BLVD ,,RALEIGH,NC,27610,(919) 828-2118,2006/12/22 05:00:00+00,Restaurant,596,-78.61277558,35.79430477,M
2002816,04092021892,FOOD LION #815 PRODUCE,2837 WENDELL BLVD ,,WENDELL,NC,27591,(919) 365-3002,2015/10/21 04:00:00+00,Food Stand,631,-78.38037181,35.79568777,M
2002817,04092021426,Speedway #6959,2808 US 70 HWY E ,,CLAYTON,NC,27520-9321,(919) 553-3535,2006/12/21 05:00:00+00,Food Stand,660,-78.52023463,35.67517694,M
2002818,04092021961,PUBLIX #1520 MEAT/SEAFOOD,3480 KILDAIRE FARM RD ,,CARY,NC,27518,(919) 303-4024,2016/05/23 04:00:00+00,Food Stand,674,-78.79652253,35.70711378,M
2002819,04092016595,SMITHFIELD'S CHICKEN'N BAR-B-Q,7911 FAYETTEVILLE RD ,,RALEIGH,NC,27603,(919) 661-9151,2014/01/03 05:00:00+00,Restaurant,675,-78.69699987,35.66636356,M
2002820,04092014765,Randy's Pizza,4129 Davis DR ,,MORRISVILLE,NC,27560,(919) 468-3737,2006/12/22 05:00:00+00,Restaurant,685,-78.85811603,35.8356265,M
2002821,04092021474,Lee's Kitchen,4638 Capital BLVD ,,RALEIGH,NC,27604,(919) 872-7422,2007/09/20 04:00:00+00,Food Stand,706,-78.57926249,35.84833828,M
2002822,04092017041,FIREHOUSE SUBS #1138,4111 ED DR ,,RALEIGH,NC,27612,(919) 783-7102,2015/09/22 04:00:00+00,Restaurant,721,-78.70458274,35.82558522,M
2002823,04092018503,Pita Bowl,9101 LEESVILLE  RD ,STE 141,RALEIGH,NC,27613,(919) 848-1211,2020/12/15 05:00:00+00,Restaurant,725,-78.72548207,35.8967595,M
2002824,04092021604,The Butchers Market,1225 KILDAIRE FARM RD,,CARY,NC,27511,(919) 465-3082,2010/01/20 05:00:00+00,Food Stand,727,-78.78213078,35.7627377,M
2002825,04092014841,1705 Prime Catering and Events,1705 E Millbrook RD ,,RALEIGH,NC,27609,(919) 850-2340,2007/04/05 04:00:00+00,Restaurant,741,-78.60608423,35.85065239,M
2002826,04092021725,MCDONALDS #10267,4325-2051 GLENWOOD AVE ,,RALEIGH,NC,27624,(919) 782-8240,2012/11/19 05:00:00+00,Food Stand,698,-78.67658819,35.8395892,M
2002827,04092021475,Lowes Foods #226 Produce,8440 louisburg rd ,,RALEIGH,NC,27616,(919) 866-1031,2007/09/14 04:00:00+00,Food Stand,749,-78.50930992,35.89359383,M
2002828,04092025263,Oriental Pho,5959 TRIANGLE TOWN BLVD,1116,RALEIGH,NC,27616,(919) 449-0807,2019/06/12 04:00:00+00,Restaurant,752,-78.57603863,35.86599856,M
2002829,04092017051,JERSEY MIKE'S #349,3201-139 EDWARDS MILL RD ,,RALEIGH,NC,27612,(984) 202-5627,2015/10/09 04:00:00+00,Restaurant,700,-78.70556784,35.82545067,M
2002830,04092030290,TAQUERIA LA COSTENA (WCID #537),3905 GREEN LEVEL WEST RD ,"corner of Green Level West Rd &amp; Autumn Shade Dr",APEX,NC,27523,(919) 244-0786,2015/10/09 04:00:00+00,Mobile Food Units,760,-78.9125522,35.774781,M
2002831,04092014977,Starbucks Coffee Co,8204-120 Tryon Woods DR ,,CARY,NC,27518,(919) 851-6439,2007/10/22 04:00:00+00,Restaurant,707,-78.74169613,35.74700826,M
2002832,04092018243,PIZZA HUT #9210,321  N MAIN ST ,,HOLLY SPRINGS,NC,27540,(919) 346-9020,2019/12/03 05:00:00+00,Restaurant,784,-78.83511867,35.65582685,M
2002833,04092018672,Burger King #10775,636  W Gannon Ave,,ZEBULON,NC,27595,(919) 404-1091,2021/07/02 04:00:00+00,Restaurant,786,-78.32958448,35.82096151,M
2002834,04092015089,BRUEGGERS BAGELS #143,7550-106 CREEDMOOR RD ,,RALEIGH,NC,27613,(919) 848-4902,2008/03/28 04:00:00+00,Restaurant,711,-78.67969753,35.88944343,M
2002835,04092025334,Mat-Jib,1961 HIGH HOUSE RD,,CARY,NC,27519,(919) 969-3614,2020/12/16 05:00:00+00,Food Stand,793,-78.84865444,35.78921622,M
2002836,04092014675,Stromboli's ,3434 Edwards Mill RD ,,RALEIGH,NC,27609,(919) 785-7075,2006/09/01 04:00:00+00,Restaurant,799,-78.70345096,35.82690996,M
2002837,04092030245,LA FARM BREAD TRUCK (WCID #442),4150 MAIN AT NORTH HILLS ,,RALEIGH,NC,27609,(919) 657-0657,2012/09/07 04:00:00+00,Mobile Food Units,712,-78.64290922,35.83698561,M
2002838,04092014624,Chick-fil-A #1749,1000 Valleystone DR ,,CARY,NC,27519,(919) 465-0699,2006/07/05 04:00:00+00,Restaurant,803,-78.85027134,35.79062803,M
